status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed
OK,negbinomial.size,0.0513582464664381,0.271190751096723,G10,C1orf21,NM_030806,ENSG00000116667,C1orf21,81563,2.76553474636298,732
OK,negbinomial.size,0.096634108629116,0.421251923082404,G1000,GALE,NM_001127621+NM_000403+NM_001008216,ENSG00000117308,GALE,2582,2.74723392962003,1015
OK,negbinomial.size,0.0937774880347494,0.413390215809432,G10000,PSMC2,NM_002803+NM_001204453,ENSG00000161057,PSMC2,5701,2.82312223791592,1860
OK,negbinomial.size,0.971401404311549,1,G10001,DNAJC2,NM_014377+NM_001129887,ENSG00000105821,DNAJC2,27000,2.64385618977472,1027
OK,negbinomial.size,0.144508509683979,0.559265690409236,G10002,PMPCB,NM_004279,ENSG00000105819,PMPCB,9512,2.68805599368526,1513
OK,negbinomial.size,0.504263188878817,1,G10005,KMT2E-AS1,NR_024586,ENSG00000239569,KMT2E-AS1,NA,2.87446911791614,862
OK,negbinomial.size,0.505298982499233,1,G10007,RINT1,NM_021930,ENSG00000135249,RINT1,60561,2.58496250072116,710
OK,negbinomial.size,9.37018460819561e-06,0.000285790630549966,G10009,SYPL1,NM_182715+NM_006754,ENSG00000008282,SYPL1,6856,3.10153802646206,1589
OK,negbinomial.size,0.361210037278887,0.904950072442492,G1001,LYPLA2,NM_007260,ENSG00000011009,LYPLA2,11313,2.4594316186373,1479
OK,negbinomial.size,0.208061450297357,0.694412391258133,G10012,BCAP29,NM_018844+NR_027830+NM_001008405,ENSG00000075790,BCAP29,55973,2.77258950389693,1397
OK,negbinomial.size,0.903079622095148,1,G10015,CBLL1,NM_024814+NR_024199+NM_001284291,ENSG00000105879,CBLL1,79872,2.77258950389693,1213
OK,negbinomial.size,0.348659195951849,0.894048666451454,G10016,DLD,NM_001289750+NM_000108+NM_001289751+NM_001289752,ENSG00000091140,DLD,1738,2.89812038598079,1715
OK,negbinomial.size,0.0553951316971182,0.286926766526752,G10017,THAP5,NM_001130475+NM_001287601+NM_001287599+NM_001287598+NM_182529,ENSG00000177683,THAP5,168451,2.84130225398094,1600
OK,negbinomial.size,0.000365247718525263,0.00670434315873232,G10018,DNAJB9,NM_012328,ENSG00000128590,DNAJB9,4189,3.37503943134692,1487
OK,negbinomial.size,0.359493442420272,0.902707266576077,G10024,TMEM168,NM_022484+NR_109840+NM_001287497,ENSG00000146802,TMEM168,64418,2.70043971814109,836
OK,negbinomial.size,0.583562729321861,1,G10026,LINC00998,NR_015442+NR_024412,NA,NA,NA,2.32192809488736,1810
OK,negbinomial.size,0.520717050007211,1,G1003,SRSF10,NM_006625+NM_001191007+NM_001191006+NM_001191009+NR_034035+NM_054016+NM_001191005,ENSG00000188529,SRSF10,10772,2.65535182861255,1794
OK,negbinomial.size,8.30581114318714e-07,3.40840286366789e-05,G10031,CAV2,NM_001233+NM_001206747+NM_198212+NM_001206748,ENSG00000105971,CAV2,858,3.07972719247073,567
OK,negbinomial.size,0.895932298366186,1,G10041,ING3,NM_019071+NM_198267,ENSG00000071243,ING3,54556,2.67807190511264,991
OK,negbinomial.size,0.443353970072077,0.977724579611701,G10042,FAM3C,NM_001040020+NM_014888,ENSG00000196937,FAM3C,10447,2.11547721741994,1244
OK,negbinomial.size,0.0664160722911802,0.323411165396319,G1005,PNRC2,NM_017761,ENSG00000189266,PNRC2,55629,2.55019708256048,1728
OK,negbinomial.size,0.556811851689244,1,G10060,ZNF800,NM_176814,ENSG00000048405,ZNF800,168850,2.41503749927884,1278
OK,negbinomial.size,0.17477144778157,0.628620171542636,G10062,ARF5,NM_001662,ENSG00000004059,ARF5,381,2.22239242133645,2049
OK,negbinomial.size,0.709891925387059,1,G10063,GCC1,NM_024523,ENSG00000179562,GCC1,79571,2.89466319548828,661
OK,negbinomial.size,0.863614633178169,1,G10072,RBM28,NM_001166135+NM_018077,ENSG00000106344,RBM28,55131,2.78112121211054,969
OK,negbinomial.size,0.0433319307580674,0.241631050576796,G10073,IMPDH1,NM_001142573+NM_000883+NM_183243+NM_001102605+NM_001142576+NM_001142575+NM_001142574,ENSG00000106348,IMPDH1,3614,2.75488750216347,760
OK,negbinomial.size,6.17439635789145e-19,1.21179239824009e-16,G10076,HILPDA,NM_001098786+NM_013332,ENSG00000135245,HILPDA,29923,2.43295940727611,603
OK,negbinomial.size,0.627376891135528,1,G10079,CALU,NR_074086+NM_001199673+NM_001130674+NM_001219+NM_001199672+NM_001199671,ENSG00000128595,CALU,813,3.10433665981474,1628
