status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
OK,negbinomial.size,1.79150822337687e-62,1.61737362406464e-58,G19458,DUOX2,NM_014080,ENSG00000140279,DUOX2,50506,6.8703647195834,409,TRUE
OK,negbinomial.size,4.11878800862133e-57,1.85922090709167e-53,G6327,SPP1,NM_001040058+NM_000582+NM_001251830+NM_001251829+NM_001040060,ENSG00000118785,SPP1,6696,6.78744095497308,967,TRUE
OK,negbinomial.size,5.152293648351e-48,1.55049690191043e-44,G13525,RPS4Y1,NM_001008,ENSG00000129824,RPS4Y1,6192,2.54189377882927,1082,TRUE
OK,negbinomial.size,1.68387701919984e-44,3.80051043233404e-41,G21601,CCL2,NM_002982,ENSG00000108691,CCL2,6347,6.46350707171957,409,TRUE
OK,negbinomial.size,7.69319900167225e-43,1.38908401174194e-39,G17656,OLFM4,NM_006418,ENSG00000102837,OLFM4,10562,6.57166002871259,620,TRUE
OK,negbinomial.size,9.75395953773848e-43,1.46764577844505e-39,G23282,ICAM1,NM_000201,ENSG00000090339,ICAM1,3383,3.78133321726135,507,TRUE
OK,negbinomial.size,5.5634958794845e-32,7.17532011428373e-29,G2324,PIGR,NM_002644,ENSG00000162896,PIGR,5284,6.42066204847272,553,TRUE
OK,negbinomial.size,2.21780361524335e-30,2.50279137980212e-27,G17199,TSPAN8,NM_004616,ENSG00000127324,TSPAN8,7103,6.50378039448879,620,TRUE
OK,negbinomial.size,2.89299529038341e-30,2.90199572017572e-27,G16001,BIRC3,NM_001165+NM_182962,ENSG00000023445,BIRC3,330,3.90689059560852,484,TRUE
OK,negbinomial.size,6.13778129358362e-30,5.54118895184729e-27,G16004,MMP7,NM_002423,ENSG00000137673,MMP7,4316,7.53430189759468,546,TRUE
OK,negbinomial.size,1.15660672749678e-27,9.49258685076445e-25,G9343,CFTR,NM_000492,ENSG00000001626,CFTR,1080,8.07815019043882,478,TRUE
OK,negbinomial.size,1.53385752689563e-27,1.15397214606781e-24,G24941,TGM2,NM_004613+NM_198951,ENSG00000198959,TGM2,7052,4.64744492352011,538,TRUE
OK,negbinomial.size,1.248068614201e-25,8.66735649923587e-23,G16232,TMEM45B,NM_138788,ENSG00000151715,TMEM45B,120224,2.98185265328974,943,TRUE
OK,negbinomial.size,7.91780586109162e-25,5.10585366528108e-22,G22854,MAST1,NM_014975,ENSG00000105613,MAST1,22983,2.91730272273871,801,TRUE
OK,negbinomial.size,1.45326786460315e-24,8.74673485442482e-22,G8989,SOD2,NM_001024466+NM_001024465+NM_000636,ENSG00000112096,SOD2,6648,4,1290,TRUE
OK,negbinomial.size,1.68186878015621e-24,9.48994459203142e-22,G9725,ERV3-1,NM_001007253,ENSG00000213462,ERV3-1,2086,2.99086853099372,748,TRUE
OK,negbinomial.size,6.99899069819421e-21,3.71687576607631e-18,G8897,TAAR5,NM_003967,ENSG00000135569,TAAR5,9038,4.08746284125034,1267,TRUE
OK,negbinomial.size,1.0254408866628e-20,5.14315573599542e-18,G8341,UBD,NM_006398,ENSG00000226898,UBD,10537,6.5077946401987,436,TRUE
OK,negbinomial.size,6.24644763326996e-19,2.96804890700849e-16,G4667,TNFSF10,NM_003810+NM_001190942+NR_033994+NM_001190943,ENSG00000121858,TNFSF10,8743,3.67556504950206,1244,TRUE
OK,negbinomial.size,1.60841960408359e-18,7.26040609283331e-16,G18710,SERPINA1,NM_001127704+NM_001127703+NM_001127702+NM_001127705+NM_001127707+NM_001127706+NM_000295+NM_001127700+NM_001127701+NM_001002236+NM_001002235,ENSG00000277377,SERPINA1,5265,7.23521646169403,1561,TRUE
OK,negbinomial.size,2.45263165122112e-18,1.0543980260583e-15,G13597,EIF1AY,NM_004681+NM_001278612,ENSG00000198692,EIF1AY,9086,2.91285228109711,920,TRUE
OK,negbinomial.size,4.527467974059e-18,1.85790822135476e-15,G1320,PDZK1IP1,NM_005764,ENSG00000162366,PDZK1IP1,10158,4.84799690655495,535,TRUE
OK,negbinomial.size,6.88566880945026e-18,2.70277469616161e-15,G18544,HIF1A,NM_001530+NM_181054+NM_001243084,ENSG00000100644,HIF1A,3091,3.26946067499323,1766,TRUE
OK,negbinomial.size,3.2079371248936e-17,1.20671901514748e-14,G8458,CFB,NM_001710,ENSG00000243570,CFB,629,7.12064208506146,803,TRUE
OK,negbinomial.size,4.66345072303949e-17,1.68406532510402e-14,G13569,DDX3Y,NM_001122665+NM_004660,ENSG00000067048,DDX3Y,8653,3.35750084112653,692,TRUE
OK,negbinomial.size,4.86369478320871e-17,1.68882448087724e-14,G7279,ARRDC3,NM_020801,ENSG00000113369,ARRDC3,57561,3.41503749927884,1098,TRUE
OK,negbinomial.size,5.72945481823563e-17,1.91575992959375e-14,G22830,C3,NM_000064,ENSG00000125730,C3,718,6.4374053123073,608,TRUE
OK,negbinomial.size,1.61866424591511e-16,5.21903600432915e-14,G14028,PFKFB3,NM_001145443+NM_001282630+NM_004566,ENSG00000170525,PFKFB3,5209,3.18123581887838,635,TRUE
OK,negbinomial.size,2.88789887967352e-16,8.99032796058363e-14,G2829,ANXA4,NM_001153,ENSG00000196975,ANXA4,307,4.93242272279972,1550,TRUE
OK,negbinomial.size,3.16620325295937e-16,9.52816098923907e-14,G18500,ERO1L,NM_014584,NA,NA,NA,2.88752527074159,1051,TRUE
OK,negbinomial.size,7.24267613350586e-16,2.10925419784809e-13,G12981,XIST,NR_001564,ENSG00000229807,XIST,7503,2.70832337607025,715,TRUE
OK,negbinomial.size,7.58694266821054e-16,2.1404662002689e-13,G15342,EHF,NM_012153+NM_001206615+NM_001206616,ENSG00000135373,EHF,26298,3.47030629590863,1357,TRUE
OK,negbinomial.size,2.95903279062182e-15,8.09519637385872e-13,G15284,LDHA,NM_001165415+NM_001135239+NM_001165416+NM_005566+NR_028500+NM_001165414,ENSG00000134333,LDHA,3939,3.53138146051631,1527,TRUE
OK,negbinomial.size,3.85388480558483e-15,9.99060940202876e-13,G3739,SCTR,NM_002980,ENSG00000080293,SCTR,6344,3.09953567355091,601,TRUE
OK,negbinomial.size,3.87318707433547e-15,9.99060940202876e-13,G9087,NAMPT,NM_005746,ENSG00000105835,NAMPT,10135,2.76553474636298,1310,TRUE
OK,negbinomial.size,5.63368807121842e-15,1.41280377519333e-12,G1299,TSPAN1,NM_005727,ENSG00000117472,TSPAN1,10103,3.70043971814109,775,TRUE
OK,negbinomial.size,1.48829001725757e-14,3.63142764210847e-12,G3308,PPP1CB,NM_206876+NM_002709,ENSG00000213639,PPP1CB,5500,2.76938707185858,2145,TRUE
OK,negbinomial.size,2.59091472999875e-14,6.1554679427444e-12,G18562,GPX2,NM_002083+NR_046321+NR_046320,ENSG00000176153,GPX2,2877,3.99057302238839,1090,FALSE
OK,negbinomial.size,3.17185075455994e-14,7.34242784927361e-12,G13902,PIK3AP1,NM_152309,ENSG00000155629,PIK3AP1,118788,3.05062607306997,523,TRUE
OK,negbinomial.size,3.78169145630898e-14,8.53527761688938e-12,G20334,TMC5,NM_001105248+NM_001105249+NM_001261841+NM_024780,ENSG00000103534,TMC5,79838,3.6020360140801,510,FALSE
OK,negbinomial.size,1.81493270213202e-13,3.90124105591617e-11,G22705,ONECUT2,NM_004852,ENSG00000119547,ONECUT2,9480,3.67807190511264,541,TRUE
OK,negbinomial.size,1.79716759212017e-13,3.90124105591617e-11,G6557,PDLIM3,NM_001114107+NM_014476+NM_001257962+NM_001257963+NR_047562,ENSG00000154553,PDLIM3,27295,4.95883521718088,542,TRUE
OK,negbinomial.size,1.90394555553348e-13,3.99740011054796e-11,G8450,SLC44A4,NM_001178044+NM_025257+NM_001178045,ENSG00000229077,SLC44A4,80736,3.55799545312089,1092,FALSE
OK,negbinomial.size,2.98555253512482e-13,6.12581097434248e-11,G16078,NNMT,NM_006169,ENSG00000166741,NNMT,4837,3.78135971352466,611,TRUE
OK,negbinomial.size,4.15539194814072e-13,8.3366396684032e-11,G11931,PTGR1,NM_001146109+NM_001146108+NM_012212,ENSG00000106853,PTGR1,22949,3.14295795384204,1415,TRUE
OK,negbinomial.size,5.16670369684543e-13,9.92446829257884e-11,G20830,SLC7A5,NM_003486,ENSG00000103257,SLC7A5,8140,2.85787899760161,732,TRUE
