status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed
OK,negbinomial.size,0.197923951333715,0.220002146348286,G10,C1orf21,NM_030806,ENSG00000116667,C1orf21,81563,2.76553474636298,732
OK,negbinomial.size,1.83075942052779e-05,4.44064912641722e-05,G1000,GALE,NM_001127621+NM_000403+NM_001008216,ENSG00000117308,GALE,2582,2.74723392962003,1015
OK,negbinomial.size,0.000110579493407722,0.000234015861810809,G10000,PSMC2,NM_002803+NM_001204453,ENSG00000161057,PSMC2,5701,2.82312223791592,1860
OK,negbinomial.size,0.657224822439422,0.672266677655008,G10001,DNAJC2,NM_014377+NM_001129887,ENSG00000105821,DNAJC2,27000,2.64385618977472,1027
OK,negbinomial.size,0.00159972963451421,0.00269799348783753,G10002,PMPCB,NM_004279,ENSG00000105819,PMPCB,9512,2.68805599368526,1513
OK,negbinomial.size,2.54536522290036e-09,1.12266852771471e-08,G10005,KMT2E-AS1,NR_024586,ENSG00000239569,KMT2E-AS1,NA,2.87446911791614,862
OK,negbinomial.size,1.46660149657802e-07,5.02484945393031e-07,G10007,RINT1,NM_021930,ENSG00000135249,RINT1,60561,2.58496250072116,710
OK,negbinomial.size,8.67193637034049e-18,1.04386988735245e-16,G10009,SYPL1,NM_182715+NM_006754,ENSG00000008282,SYPL1,6856,3.10153802646206,1589
OK,negbinomial.size,9.70685219832987e-15,8.52465580219086e-14,G1001,LYPLA2,NM_007260,ENSG00000011009,LYPLA2,11313,2.4594316186373,1479
OK,negbinomial.size,7.64630251572136e-08,2.70285117901067e-07,G10012,BCAP29,NM_018844+NR_027830+NM_001008405,ENSG00000075790,BCAP29,55973,2.77258950389693,1397
OK,negbinomial.size,0.00217614705004324,0.0035700991400673,G10015,CBLL1,NM_024814+NR_024199+NM_001284291,ENSG00000105879,CBLL1,79872,2.77258950389693,1213
