status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed
OK,negbinomial.size,0.999999954246758,1,G10,C1orf21,NM_030806,ENSG00000116667,C1orf21,81563,2.76553474636298,732
OK,negbinomial.size,0.0160103191645895,0.0304874839523126,G1000,GALE,NM_001127621+NM_000403+NM_001008216,ENSG00000117308,GALE,2582,2.74723392962003,1015
OK,negbinomial.size,1.09722098181652e-07,9.10451380867609e-07,G10000,PSMC2,NM_002803+NM_001204453,ENSG00000161057,PSMC2,5701,2.82312223791592,1860
OK,negbinomial.size,0.806049885418955,0.841273890747565,G10001,DNAJC2,NM_014377+NM_001129887,ENSG00000105821,DNAJC2,27000,2.64385618977472,1027
OK,negbinomial.size,0.0343111543178257,0.0590808890294356,G10002,PMPCB,NM_004279,ENSG00000105819,PMPCB,9512,2.68805599368526,1513
OK,negbinomial.size,0.00248616296587132,0.00593157485620673,G10005,KMT2E-AS1,NR_024586,ENSG00000239569,KMT2E-AS1,NA,2.87446911791614,862
OK,negbinomial.size,8.0935768378624e-05,0.000302562367255577,G10007,RINT1,NM_021930,ENSG00000135249,RINT1,60561,2.58496250072116,710
OK,negbinomial.size,1.40205721315982e-09,1.9354392233038e-08,G10009,SYPL1,NM_182715+NM_006754,ENSG00000008282,SYPL1,6856,3.10153802646206,1589
OK,negbinomial.size,0.0022970143881589,0.00553441310282854,G1001,LYPLA2,NM_007260,ENSG00000011009,LYPLA2,11313,2.4594316186373,1479
OK,negbinomial.size,1.75055703583837e-05,7.96172741538982e-05,G10012,BCAP29,NM_018844+NR_027830+NM_001008405,ENSG00000075790,BCAP29,55973,2.77258950389693,1397
OK,negbinomial.size,6.61307072384245e-06,3.38451261308671e-05,G10015,CBLL1,NM_024814+NR_024199+NM_001284291,ENSG00000105879,CBLL1,79872,2.77258950389693,1213
OK,negbinomial.size,0.000170687307424461,0.000574772477220452,G10016,DLD,NM_001289750+NM_000108+NM_001289751+NM_001289752,ENSG00000091140,DLD,1738,2.89812038598079,1715
OK,negbinomial.size,2.45206538579566e-13,7.87802359536057e-12,G10017,THAP5,NM_001130475+NM_001287601+NM_001287599+NM_001287598+NM_182529,ENSG00000177683,THAP5,168451,2.84130225398094,1600
OK,negbinomial.size,7.09800267375472e-11,1.36632767886264e-09,G10018,DNAJB9,NM_012328,ENSG00000128590,DNAJB9,4189,3.37503943134692,1487
OK,negbinomial.size,8.54049645258041e-13,2.4322902830882e-11,G10024,TMEM168,NM_022484+NR_109840+NM_001287497,ENSG00000146802,TMEM168,64418,2.70043971814109,836
OK,negbinomial.size,0.00541957844978052,0.0117227456173592,G10026,LINC00998,NR_015442+NR_024412,NA,NA,NA,2.32192809488736,1810
OK,negbinomial.size,0.000105768571833362,0.000379824449686391,G1003,SRSF10,NM_006625+NM_001191007+NM_001191006+NM_001191009+NR_034035+NM_054016+NM_001191005,ENSG00000188529,SRSF10,10772,2.65535182861255,1794
OK,negbinomial.size,0.99999969134294,1,G10031,CAV2,NM_001233+NM_001206747+NM_198212+NM_001206748,ENSG00000105971,CAV2,858,3.07972719247073,567
OK,negbinomial.size,1.71743887184772e-06,1.03366920900275e-05,G10041,ING3,NM_019071+NM_198267,ENSG00000071243,ING3,54556,2.67807190511264,991
OK,negbinomial.size,0.00274935349986407,0.00648072151351771,G10042,FAM3C,NM_001040020+NM_014888,ENSG00000196937,FAM3C,10447,2.11547721741994,1244
OK,negbinomial.size,2.20712870884726e-05,9.80558877230304e-05,G1005,PNRC2,NM_017761,ENSG00000189266,PNRC2,55629,2.55019708256048,1728
OK,negbinomial.size,0.0696188168740062,0.107900202358546,G10060,ZNF800,NM_176814,ENSG00000048405,ZNF800,168850,2.41503749927884,1278
OK,negbinomial.size,0.0640175033046854,0.100552813673035,G10062,ARF5,NM_001662,ENSG00000004059,ARF5,381,2.22239242133645,2049
OK,negbinomial.size,0.0658583180202627,0.1029913208188,G10063,GCC1,NM_024523,ENSG00000179562,GCC1,79571,2.89466319548828,661
OK,negbinomial.size,0.199278844688345,0.263641472720748,G10072,RBM28,NM_001166135+NM_018077,ENSG00000106344,RBM28,55131,2.78112121211054,969
OK,negbinomial.size,0.161088111734359,0.220649897244393,G10073,IMPDH1,NM_001142573+NM_000883+NM_183243+NM_001102605+NM_001142576+NM_001142575+NM_001142574,ENSG00000106348,IMPDH1,3614,2.75488750216347,760
OK,negbinomial.size,5.11814363901619e-05,0.000204363559367705,G10076,HILPDA,NM_001098786+NM_013332,ENSG00000135245,HILPDA,29923,2.43295940727611,603
OK,negbinomial.size,3.62789500575568e-05,0.00015086428425593,G10079,CALU,NR_074086+NM_001199673+NM_001130674+NM_001219+NM_001199672+NM_001199671,ENSG00000128595,CALU,813,3.10433665981474,1628
OK,negbinomial.size,0.832760705047314,0.86366038428112,G10081,ATP6V1F,NM_001198909+NM_004231,ENSG00000128524,ATP6V1F,9296,2.39485961734121,2052
OK,negbinomial.size,0.00124469972392009,0.00323650607936364,G10085,TNPO3,NR_034053+NM_001191028+NM_012470,ENSG00000064419,TNPO3,23534,2.79689987813395,1038
OK,negbinomial.size,0.010765069434383,0.0215396823700376,G10088,TSPAN33,NM_178562,ENSG00000158457,TSPAN33,340348,2.36923380966572,746
OK,negbinomial.size,0.182999684421002,0.245194590524311,G1009,STPG1,NM_001199014+NM_001199012+NM_178122+NM_001199013,ENSG00000001460,STPG1,90529,2.4594316186373,574
OK,negbinomial.size,0.430368190590394,0.500884881352337,G10093,ZC3HC1,NM_016478+NM_001282191+NM_001282190,ENSG00000091732,ZC3HC1,51530,2.88752527074159,749
OK,negbinomial.size,0.000237885839197849,0.000766738077928663,G10094,TMEM209,NM_032842,ENSG00000146842,TMEM209,84928,3,976
OK,negbinomial.size,0.000375052815382888,0.0011400595344366,G10099,MEST,NM_001253901+NM_177524+NM_001253902+NM_177525+NM_002402+NM_001253900,ENSG00000106484,MEST,4232,2.93859945533586,1199
OK,negbinomial.size,0.578828422646795,0.639537755434495,G101,PPP1R12B,NM_002481+NM_001167857+NM_001167858+NM_032103+NM_032104+NM_001197131,ENSG00000077157,PPP1R12B,4660,2.4594316186373,671
OK,negbinomial.size,0.170949238627665,0.231557348286655,G10101,CEP41,NM_018718+NM_001257159+NM_001257158+NR_046443+NM_001257160,ENSG00000106477,CEP41,95681,2.79448221563933,1075
OK,negbinomial.size,3.91600811896739e-06,2.13231129662471e-05,G10111,SLC35B4,NM_032826,ENSG00000205060,SLC35B4,84912,2.64385618977472,565
OK,negbinomial.size,0.892260718239436,0.915378382302912,G10112,AKR1B1,NM_001628,ENSG00000085662,AKR1B1,231,2.70043971814109,1756
OK,negbinomial.size,0.612176991349798,0.669050492212302,G10114,TMEM140,NM_018295,ENSG00000146859,TMEM140,55281,2.70043971814109,644
OK,negbinomial.size,0.220247251909684,0.286553133050962,G10115,C7orf49,NM_001243754+NM_001243752+NM_001243751+NM_001243749+NM_001243755+NM_001243753+NM_024033,NA,NA,NA,2.58496250072116,1075
OK,negbinomial.size,0.000242410506447981,0.000779096494201627,G10118,C7orf73,NM_001130929,NA,NA,NA,2.54943654186374,1907
OK,negbinomial.size,0.11115233984635,0.161383615975048,G1012,RCAN3,NM_001251979+NM_001251984+NM_001251981+NM_001251977+NM_013441+NM_001251978+NM_001251982+NM_001251980+NM_001251985+NM_001251983,ENSG00000117602,RCAN3,11123,2.58496250072116,1144
OK,negbinomial.size,0.0160650370948335,0.0305723345050921,G10126,ZC3HAV1,NM_020119+NM_024625,ENSG00000105939,ZC3HAV1,56829,2.89308479608349,1471
OK,negbinomial.size,0.687194666684768,0.736479287427224,G10128,C7orf55,NR_073060+NR_073059+NR_073058+NM_197964,NA,NA,NA,2.56434696067316,1317
OK,negbinomial.size,0.000164488863977452,0.000555349836944067,G1013,LOC100506985,NR_109781,NA,NA,NA,2.32192809488736,811
OK,negbinomial.size,0.967837568636467,0.978787674431503,G10132,PARP12,NM_022750,ENSG00000059378,PARP12,64761,2.63226821549951,870
OK,negbinomial.size,0.000810692241031839,0.00221651409813308,G10134,SLC37A3,NM_207113+NM_032295+NM_001287498,ENSG00000157800,SLC37A3,84255,2.84130225398094,1057
