status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
OK,negbinomial.size,8.054642043409e-30,7.27173083678965e-26,G22854,MAST1,NM_014975,ENSG00000105613,MAST1,22983,2.91730272273871,801,TRUE
OK,negbinomial.size,3.2672583822638e-20,1.47484043375388e-16,G12981,XIST,NR_001564,ENSG00000229807,XIST,7503,2.70832337607025,715,TRUE
OK,negbinomial.size,1.15650896849293e-18,3.48032098918471e-15,G13525,RPS4Y1,NM_001008,ENSG00000129824,RPS4Y1,6192,2.54189377882927,1082,TRUE
OK,negbinomial.size,7.56684141591464e-14,1.70783610757193e-10,G13569,DDX3Y,NM_001122665+NM_004660,ENSG00000067048,DDX3Y,8653,3.35750084112653,692,TRUE
OK,negbinomial.size,4.74098421740623e-12,8.56032110294868e-09,G1629,SIKE1,NR_049741+NM_025073+NM_001102396+NR_049742,ENSG00000052723,SIKE1,80143,2.8073549220576,1146,FALSE
OK,negbinomial.size,3.36225011196504e-11,5.05906566847006e-08,G15074,INS,NM_001185097+NM_000207+NM_001185098+NM_001291897,ENSG00000254647,INS,3630,3.87446911791614,1700,TRUE
OK,negbinomial.size,8.19782767803692e-11,1.05728554681882e-07,G18256,MEG3,NR_003530+NR_046468+NR_046467+NR_046466+NR_046465+NR_033359+NR_033358+NR_046464+NR_002766+NR_046471+NR_033360+NR_046470+NR_046469+NR_046472+NR_046473+NR_003531,ENSG00000214548,MEG3,NA,4.1609918766723,763,TRUE
OK,negbinomial.size,1.74330019569171e-10,1.79410159002539e-07,G13568,TTTY15,NR_001545,ENSG00000233864,TTTY15,NA,3.4262647547021,633,TRUE
OK,negbinomial.size,1.78853725190834e-10,1.79410159002539e-07,G14067,VIM,NM_003380,ENSG00000026025,VIM,7431,3.69812026474409,1183,TRUE
OK,negbinomial.size,2.96817715947232e-10,2.67967033957161e-07,G13490,KDM5D,NM_001146706+NM_004653+NM_001146705,ENSG00000012817,KDM5D,8284,3.16992500144231,584,TRUE
OK,negbinomial.size,3.33385778110815e-10,2.73618800434949e-07,G12396,SPIN3,NR_027139+NM_001010862,ENSG00000204271,SPIN3,169981,2.74127555615787,528,TRUE
OK,negbinomial.size,3.79476766302207e-10,2.85493020514694e-07,G13597,EIF1AY,NM_004681+NM_001278612,ENSG00000198692,EIF1AY,9086,2.91285228109711,920,TRUE
OK,negbinomial.size,9.84238256873765e-10,6.83515614081258e-07,G2098,SFT2D2,NM_199344,ENSG00000213064,SFT2D2,375035,2.13750352374994,832,FALSE
OK,negbinomial.size,2.55897739273293e-09,1.65017485011378e-06,G13481,USP9Y,NM_004654,ENSG00000114374,USP9Y,8287,2.70043971814109,689,TRUE
OK,negbinomial.size,4.3022545923496e-09,2.36199395655848e-06,G11217,DAPK1,NM_001288731+NM_004938+NM_001288730+NM_001288729,ENSG00000196730,DAPK1,1612,3.21057299891457,1391,FALSE
OK,negbinomial.size,4.39556984370698e-09,2.36199395655848e-06,G18919,RASGRP1,NM_001128602+NM_005739,ENSG00000172575,RASGRP1,10125,2.6862938360495,474,TRUE
OK,negbinomial.size,4.44770683002816e-09,2.36199395655848e-06,G5575,BCL6,NM_001134738+NM_001130845+NM_001706,ENSG00000113916,BCL6,604,4.26642765880453,616,TRUE
OK,negbinomial.size,5.17151930728101e-09,2.59380423922961e-06,G4333,SUMF1,NM_182760+NM_001164675+NM_001164674,ENSG00000144455,SUMF1,285362,2.66985139830767,1534,FALSE
OK,negbinomial.size,6.65606776676307e-09,3.16268314728089e-06,G581,RASSF5,NM_182664+NM_182663+NM_182665,ENSG00000266094,RASSF5,83593,2.92599941855622,1002,FALSE
OK,negbinomial.size,8.07336037005148e-09,3.64431487104124e-06,G18949,CYFIP1,NM_014608+NM_001287810+NM_001033028,ENSG00000280618,CYFIP1,23191,2.73696559416621,1399,FALSE
OK,negbinomial.size,1.10247608052523e-08,4.52416093408263e-06,G22664,HDHD2,NM_032124,ENSG00000167220,HDHD2,84064,2.85798099512757,1427,FALSE
OK,negbinomial.size,1.0922286127013e-08,4.52416093408263e-06,G4563,MUC13,NM_033049,ENSG00000173702,MUC13,56667,3.79795622405535,1185,FALSE
OK,negbinomial.size,1.23853570942917e-08,4.86152190640283e-06,G12400,LAS1L,NM_001170649+NM_001170650+NM_031206,ENSG00000001497,LAS1L,81887,2.76553474636298,945,FALSE
OK,negbinomial.size,1.38041140704421e-08,5.19264757616462e-06,G9600,AVL9,NM_015060,ENSG00000105778,AVL9,23080,3.40599235967584,821,TRUE
OK,negbinomial.size,1.88521269016283e-08,6.67948560193827e-06,G1725,MTMR11,NM_001145862+NM_181873,ENSG00000014914,MTMR11,10903,2.70043971814109,648,TRUE
OK,negbinomial.size,1.92364450210894e-08,6.67948560193827e-06,G4840,GPD1L,NM_015141,ENSG00000152642,GPD1L,23171,2.8073549220576,754,FALSE
OK,negbinomial.size,2.44608469013096e-08,8.17898243796383e-06,G21311,TNK1,NM_001251902+NM_003985,ENSG00000174292,TNK1,8711,2.39231742277876,514,TRUE
