pval,qval,G,gene_short_name,ensembl_gene_id,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
2.81883600041188E-135,2.54484514117184E-131,G22854,MAST1,ENSG00000105613,22983,2.9173027227,801,TRUE
1.95545708847843E-115,8.82693329739165E-112,G8897,TAAR5,ENSG00000135569,9038,4.0874628413,1267,TRUE
2.19808479533497E-065,6.61476984409469E-062,G12981,XIST,ENSG00000229807,7503,2.7083233761,715,TRUE
1.88167005122019E-050,4.24692930560398E-047,G6025,C4orf48,ENSG00000243449,401115,3.7083449162,2049,TRUE
3.75548982096029E-037,6.7809124207259E-034,G18316,RNASE1,ENSG00000129538,6035,6.8763079247,404,TRUE
1.32466509154527E-036,1.99317940774511E-033,G10153,PRSS1,ENSG00000274247,5644,5.2899968512,754,TRUE
6.22518011438448E-033,8.02870372466616E-030,G5575,BCL6,ENSG00000113916,604,4.2664276588,616,TRUE
2.31386570796612E-032,2.61119745143977E-029,G13569,DDX3Y,ENSG00000067048,8653,3.3575008411,692,TRUE
3.59000851518472E-032,3.6011774305653E-029,G23502,ISYNA1,ENSG00000105655,51477,2.8231222379,1665,TRUE
3.49083029245153E-031,2.9958127564705E-028,G20397,NUPR1,ENSG00000176046,26471,4.184158593,624,TRUE
3.65019276929281E-031,2.9958127564705E-028,G23041,ATP5D,ENSG00000099624,513,2.9657842847,1998,TRUE
7.72060852809081E-031,5.80847114930032E-028,G19458,DUOX2,ENSG00000140279,50506,6.8703647196,409,TRUE
2.39721314197906E-029,1.664772326599E-026,G20753,CTRB2,ENSG00000168928,440387,7.4582954683,457,TRUE
3.82634172352617E-029,2.46744379142816E-026,G13525,RPS4Y1,ENSG00000129824,6192,2.5418937788,1082,TRUE
1.31669778298522E-028,7.92476505652705E-026,G16078,NNMT,ENSG00000166741,4837,3.7813597135,611,TRUE
4.49959801245066E-028,2.53889817852529E-025,G448,ZNF687,ENSG00000143373,57592,3.5443205162,714,TRUE
3.73596950799922E-027,1.98401957165982E-024,G2075,RGS4,ENSG00000117152,5999,4.022367813,1197,TRUE
2.14497401701392E-026,1.07582363475565E-023,G9801,HSPB1,ENSG00000106211,3315,3.7065919451,2005,TRUE
1.70513262563915E-025,8.10207228645804E-023,G3150,RAMP1,ENSG00000132329,10267,4.2475956803,543,TRUE
2.65088391527021E-025,1.19660899935297E-022,G13597,EIF1AY,ENSG00000198692,9086,2.9128522811,920,TRUE
1.27737395504466E-024,5.49149146006818E-022,G6134,SOD3,ENSG00000109610,6649,3.0356239097,511,TRUE
5.63674352062745E-024,2.31311456837384E-021,G24941,TGM2,ENSG00000198959,7052,4.6474449235,538,TRUE
2.61494388054615E-023,1.02642231972046E-020,G7279,ARRDC3,ENSG00000113369,57561,3.4150374993,1098,TRUE
3.53952795722711E-023,1.3314524332436E-020,G9725,ERV3-1,ENSG00000213462,2086,2.990868531,748,TRUE
5.21706750113683E-023,1.88398741601053E-020,G15031,POLR2L,ENSG00000177700,5441,3.3313847328,2111,TRUE
2.16840624296338E-022,7.52937367748975E-020,G17656,OLFM4,ENSG00000102837,10562,6.5716600287,620,TRUE
1.2187651044641E-021,4.03074969323339E-019,G24310,NDUFA3,ENSG00000276061,4696,2.9870609443,2093,TRUE
1.25012174801213E-021,4.03074969323339E-019,G9770,CLDN3,ENSG00000165215,1365,3.2410080995,1642,TRUE
1.58961281742637E-021,4.94862914335354E-019,G22784,NDUFB7,ENSG00000099795,4713,2.9686581944,2086,TRUE
4.02029085582551E-021,1.20983952821309E-018,G23216,TRAPPC5,ENSG00000181029,126003,2.7925579201,1987,TRUE
1.18498991156974E-020,3.45099642633923E-018,G16001,BIRC3,ENSG00000023445,330,3.9068905956,484,FALSE
1.84714636756065E-020,5.21126168948048E-018,G7557,NDST1,ENSG00000070614,3340,3.2927817492,900,TRUE
2.51880047822157E-020,6.89082749011645E-018,G20187,TCEB2,NA,NA,2.9803276034,2174,TRUE
2.62945284137149E-020,6.98197066232405E-018,G19893,MGRN1,ENSG00000102858,23295,3.1154772174,1133,TRUE
2.92756422079202E-020,7.55144279580295E-018,G689,AGRN,ENSG00000188157,375790,2.5235619561,852,TRUE
3.87881349190645E-020,9.72720227914763E-018,G15074,INS,ENSG00000254647,3630,3.8744691179,1700,TRUE
7.04746226875099E-020,1.71958079357524E-017,G2207,RGS2,ENSG00000116741,5997,4.0789260846,724,TRUE
1.46894148703851E-019,3.48989572236413E-017,G16095,FXYD2,ENSG00000137731,486,3.4594316186,884,TRUE
