"","AZ","HP1502401","HP1504101T2D","HP1504901","HP1506401","HP1507101","HP1508501T2D","HP1509101","HP1525301T2D","HP1526901T2D","total"
"acinar cell",4,20,8,3,80,3,28,2,24,13,185
"alpha cell",28,117,141,92,26,136,119,44,87,96,886
"beta cell",12,48,10,35,32,34,14,10,11,64,270
"co-expression cell",3,3,1,6,5,6,5,3,1,6,39
"delta cell",7,21,9,12,2,7,6,10,5,35,114
"ductal cell",4,19,3,14,67,8,76,23,125,47,386
"endothelial cell",1,1,1,8,0,1,1,2,1,0,16
"epsilon cell",0,1,1,3,1,0,0,0,0,1,7
"gamma cell",7,19,70,31,15,2,8,1,10,34,197
"mast cell",0,4,0,0,0,0,2,0,0,1,7
"MHC class II cell",1,0,0,0,0,0,2,0,1,1,5
"PSC cell",1,1,2,10,2,6,12,3,13,4,54
"unclassified cell",0,0,1,1,0,0,0,0,0,0,2
"unclassified endocrine cell",5,15,3,5,4,0,3,0,6,0,41
"total",73,269,250,220,234,203,276,98,284,302,185
